,100, 250, 500, 750, 1000, 2500, 5000, 7500, 10000, 25000, 50000, 75000
Double list,,,,
Get, 38700, 31800, 95700, 101300, 111000, 273600, 547500, 825300, 1125900, 2798400, 2586200, 3010700
Access, 4200, 5100, 11900, 15200, 20900, 50200, 90900, 146500, 202500, 64100, 62900, 122800
Remove front, 1400, 1000, 1400, 800, 900, 1200, 1100, 1100, 1200, 1500, 1600, 2300
Remove back, 700, 500, 600, 400, 400, 1000, 500, 500, 700, 700, 700, 1300
Add front, 1600, 400, 600, 400, 300, 400, 300, 300, 300, 300, 400, 300
Add back, 500, 100, 100, 200, 200, 300, 100, 200, 300, 400, 300, 500
,,,,,
Simple list,,,,
Get, 82700, 10600, 27200, 36500, 55100, 163700, 263200, 688300, 936900, 2546100, 2598600, 1175600
Access, 3300, 5500, 15300, 13600, 21000, 69400, 92600, 144900, 167300, 414100, 415600, 147900
Remove front, 1100, 400, 900, 600, 400, 1000, 1000, 3600, 4300, 4800, 4800, 4700
Remove back, 5200, 11000, 24300, 34400, 45900, 107200, 216200, 337800, 441100, 1057200, 743200, 187100
Add front, 1000, 400, 800, 500, 1000, 1000, 2100, 1400, 1900, 1900, 2000, 2000
Add back, 700, 400, 1200, 900, 1400, 3200, 6100, 9000, 12400, 28600, 56500, 111000
,,,,,
Queue,,,,
Get, 31900, 23100, 57200, 80900, 97000, 265900, 533200, 839000, 1072100, 2433300, 6158800, 3001700
Access, 3300, 5500, 10700, 15600, 20900, 51500, 98300, 135300, 54500, 98600, 61700, 194200
Remove, 1300, 300, 600, 600, 400, 800, 800, 1100, 1200, 1700, 1200, 3800
Add, 700, 200, 9500, 400, 300, 400, 300, 700, 400, 300, 300, 900
,,,,,
Stack,,,,
Get, 31900, 23100, 57200, 80900, 97000, 265900, 533200, 839000, 1072100, 2433300, 6158800, 3001700
Access, 3300, 5500, 10700, 15600, 20900, 51500, 98300, 135300, 54500, 98600, 61700, 194200
Remove, 1300, 300, 600, 600, 400, 800, 800, 1100, 1200, 1700, 1200, 3800
Add, 700, 200, 9500, 400, 300, 400, 300, 700, 400, 300, 300, 900
,,,,,
