,100,250,500,750,1000,2500,5000,7500,10000,25000,50000,75000
Double list,,,,,,,,,,,,
Get,4500,61900,50200,169500,173000,440700,842400,1492800,1849900,2428700,14287600,3193400
Access,3100,5500,9900,16300,20300,48700,91200,148300,206000,47300,104800,97700
Remove front,1500,600,900,1600,800,900,1100,800,1600,1400,5200,2600
Remove back,800,500,500,600,300,500,500,500,700,700,4300,1000
Add front,1000,700,400,400,300,500,300,500,400,1200,1500,600
Add back,500,200,2800,200,700,200,100,100,300,300,1100,400
,,,,,,,,,,,,
Simple list,,,,,,,,,,,,
Get,68900,14300,37700,47200,54800,123600,228800,647800,752500,2517500,2411700,983200
Access,3200,5000,13900,14900,20300,51600,95100,120600,164100,412100,469200,120600
Remove front,1300,400,500,600,700,900,800,3000,4500,5900,5100,5400
Remove back,5300,11700,22900,43600,48000,112200,209400,308800,406400,977800,768700,147600
Add front,900,2200,1000,700,700,1300,1600,1000,1400,2100,1700,2100
Add back,600,100,700,300,300,400,200,300,600,800,600,700
,,,,,,,,,,,,
Queue,,,,,,,,,,,,
Get,2700,25200,35500,192200,165500,448200,761200,1274200,808500,6155900,3041500,2873900
Access,3900,5600,11100,20900,21100,49200,97100,138400,33900,71200,71700,91600
Remove,1500,1000,400,1400,500,800,1000,1000,1400,1200,2200,1700
Add,600,300,6800,500,300,400,300,300,200,300,400,500
,,,,,,,,,,,,
Stack,,,,,,,,,,,,
Get,2700,25200,35500,192200,165500,448200,761200,1274200,808500,6155900,3041500,2873900
Access,3900,5600,11100,20900,21100,49200,97100,138400,33900,71200,71700,91600
Remove,1500,1000,400,1400,500,800,1000,1000,1400,1200,2200,1700
Add,600,300,6800,500,300,400,300,300,200,300,400,500
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
